bloock-smooth,date of sale,change,worth,essence,part sold,settelment,year built,Area,Room number
006944-0081-000-00,02/12/2022,"2,890,000","2,890,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2011,61,3
006933-0136-099-00,11/01/2023,"1,604,000","1,604,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,2003,81,3
006979-0003-000-00,12/02/2023,"1,800,000","1,800,000",דירה בבית קומות,0.002,Tel-Aviv-jaffa,1960,51,3
007023-0141-023-00,17/02/2023,"1,950,000","1,950,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,61,3
007072-0048-000-00,17/03/2023,"521,428","521,428",דירה בבית קומות,0.002,Tel-Aviv-jaffa,2019,98,3
006215-0263-008-00,08/02/2023,"1,290,000","1,290,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,60,3
007241-0028-013-00,01/12/2022,"2,044,500","2,044,500",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,65,3
007050-0180-006-00,24/11/2022,"2,135,000","2,135,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,68,3
007050-0117-017-00,12/12/2022,"2,180,000","2,180,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,60,3
007094-0105-905-00,07/12/2022,"1,078,500","1,078,500",דירה בבית קומות,0.25,Tel-Aviv-jaffa,2022,76,3
006904-0062-004-00,30/11/2022,"1,640,000","1,640,000",דירה בבית קומות,0.4,Tel-Aviv-jaffa,1985,64,3
007065-0195-017-00,01/12/2022,"3,000,000","3,000,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,87,3
007023-0034-004-00,07/12/2022,"2,748,247","2,748,247",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,68,3
007047-0152-012-00,15/12/2022,"2,150,000","2,150,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,62,3
006649-0254-013-00,14/12/2022,"2,900,000","2,900,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2024,70,3
006649-0254-009-00,14/12/2022,"2,900,000","2,900,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2024,70,3
006163-0043-016-00,28/12/2022,"2,900,000","2,900,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1950,69,3
006214-0546-012-00,25/11/2022,"1,372,000","1,372,000",דירה בבית קומות,0.23,Tel-Aviv-jaffa,1960,86,3
006971-0025-029-00,24/11/2022,"2,475,000","2,475,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1950,79,3
006146-0290-044-00,05/01/2023,"2,230,000","2,230,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,63,3
007094-0105-507-00,08/01/2023,"970,000","970,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,2022,72,3
006997-0176-002-00,12/12/2022,"1,920,000","1,920,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,48,3
007321-0077-011-00,29/12/2022,"2,650,000","2,650,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,46,3
006214-0548-129-00,29/12/2022,"2,169,245","2,169,245",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,90,3
007241-0028-011-00,19/01/2023,"2,044,500","2,044,500",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,65,3
007048-0016-109-00,24/01/2023,"2,130,000","2,130,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,57,3
006134-0581-037-00,27/11/2022,"2,930,000","2,930,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,67,3
006129-0237-043-00,30/11/2022,"2,620,000","2,620,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,89,3
006997-0183-009-00,26/03/2023,"1,825,000","1,825,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,52,3
007023-0141-042-00,22/12/2022,"2,400,000","2,400,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,62,3
006981-0107-031-00,27/12/2022,"2,561,500","2,561,500",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,64,3
006214-0548-110-00,28/12/2022,"1,725,912","1,725,912",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,68,3
